"figure","item","ipl_num","part_number","name_ocr","source_page","source_y"
"8","340","8-340","MS15001-1","FfTTlNG, LUBRICATION","f8-p06.png","867"
"8","340A","8-340A","AS15001-1P","FITTING, LUBRICATION","f8-p06.png","1057"
"8","360","8-360","PNE203002-008","WASHERÄ","f8-p06.png","1359"
"8","361","8-361","PNE203002-009","S (REFITHICKNESS OF 1.90 mm)","f8-p06.png","1482"
"8","362","8-362","PNE203002-010","VWASHER","f8-p06.png","1641"
"8","363","8-363","PNE203002-011","WASHER","f8-p06.png","1782"
"8","364","8-364","PNE203002","WASHER","f8-p06.png","1924"
"8","372","8-372","PNE203002-020","WASHER","f8-p07.png","621"
"9","1","9-1","190-70453-401","NLG SHOCK STRUT, ASSY","f9-p00.png","642"
"9","1B","9-1B","190-70453-601","NLG STRUT, ASSY","f9-p00.png","1390"
"9","3E","9-3E","190-","NLG SHOCK STRUT, ASSY","f9-p00.png","2479"
"9","1K","9-1K","190-70453-411","NLG SHOCK STRUT, ASSY","f9-p01.png","2014"
"9","40","9-40","NASJFF49C0332R","WASHERI FLAT","f9-p01.png","2523"
"9","50","9-50","NAS6303U18D","BOLT, HEXAGON HEAD,","f9-p01.png","2614"
"9","60","9-60","MS20995C32","WIRE, LOCK","f9-p01.png","2848"
"9","9","9-9","IF190-70453-609","NLG SHOCK STRUT, ASSY","f9-p01.png","600"
"9","110","9-110","AN565A1032H5","SCRÉW; HÉ*ÅGON SOCKET","f9-p02.png","1365"
"9","115","9-115","MS20995C32","WINE, LOCK","f9-p02.png","1548"
"9","116","9-116","PNE104001","HEAT SHRINKABLE","f9-p02.png","1657"
"9","200","9-200","170-70517-001","PIN, UPPER CAM","f9-p03.png","601"
"9","210","9-210","190-70499-901","CAM, UPPER","f9-p03.png","783"
"9","210A","9-210A","190-70471-001","CAMI UPPER","f9-p03.png","993"
"9","220","9-220","170-70487-001","BOLT, DAMPING VALVE","f9-p03.png","1117"
"9","230","9-230","MS24665-153","PIN, COTTER","f9-p03.png","1300"
"9","240","9-240","PE22078L4","LOCKING","f9-p03.png","1390"
"9","250","9-250","NAS1149C0432R","WASHER;'FI-AP","f9-p03.png","1482"
"9","260","9-260","190-70489-001","QESTÄICTOR, DAMPING VALVE","f9-p03.png","1666"
"9","270","9-270","17040488-001","VS'PäENG, DAMPING VALVE","f9-p03.png","1756"
"9","280","9-280","190-70470-001","CAMI LOWER","f9-p03.png","1849"
"9","9","9-9","200170-70517-001","PIN, UPPER CAM","f9-p03.png","601"
"9","343","9-343","PNE301063-003","PACKING BACKUP, RETAINER","f9-p05.png","618"
"9","350","9-350","M83461-1-244","PACKING} PREFORMED","f9-p05.png","742"
"9","355","9-355","M83461-1-244","PACKING* PREFORMEb","f9-p05.png","1174"
"9","356","9-356","M83461-1","PACKING, PREFORMED","f9-p05.png","1384"
"9","360","9-360","190-70486-001","PISTON, ÉCdATlNG","f9-p05.png","1557"
"9","380","9-380","27PD0274308-079","HP BEARING, RING","f9-p05.png","1840"
"9","390","9-390","190-70465-401","TUBE ASSEMBLY, SLIDING","f9-p05.png","1981"
"9","390A","9-390A","190-70465403","TUBE ASSEMBLY, SLIDING","f9-p05.png","2241"
"9","395","9-395","190-70464-001","TUBE, SLIDING","f9-p06.png","597"
"9","400","9-400","17040518-401","SUPPORT, GROUND POINT","f9-p06.png","721"
"9","405","9-405","170-70518-001","SUPPORT, GROUND POINT","f9-p06.png","831"
"9","410","9-410","MS21209F1-15P","INSERT, HELICAL COIL*","f9-p06.png","954"
"9","420","9-420","MS20995C32","WIRE, LOCK","f9-p06.png","1137"
"9","425","9-425","PNE104001-002","WAX, HEATSHRlNkÅBLE","f9-p06.png","1246"
"9","430","9-430","NAS6210C20H","BOI$;+iEkÅGON HEAD,","f9-p06.png","1369"
"9","440","9-440","NAS1149F1063P","FLAT-STEEL","f9-p06.png","1512"
"9","450","9-450","190-70520-001","UT, BARREL","f9-p06.png","1603"
"9","460","9-460","190-70509-003","BUSHING, LOCK","f9-p06.png","1786"
"9","470A","9-470A","MS24665-69","PIN, COTTER","f9-p06.png","2560"
"9","480","9-480","MS14145L3","NUT, SELF-LOCKING,","f9-p06.png","2685"
"9","490","9-490","NAS1149F0332P","WASHER, FLAT-STEEL","f9-p06.png","2826"
"9","511A","9-511A","190-70567-301","BUSHING","f9-p07.png","1116"
"9","9","9-9","NAS1993-11DT","FLAT","f9-p07.png","598"
"9","542","9-542","190-70460-303","AXLE, WHEEL","f9-p08.png","793"
"9","542A","9-542A","190-70460-309","AXLE, WHEEL","f9-p08.png","1035"
"9","543","9-543","190-70460-305","AXLE,","f9-p08.png","1225"
"9","543A","9-543A","190-70460-311","vyHEEL","f9-p08.png","1467"
"9","545","9-545","170-70151-303","G•. BUSHING","f9-p08.png","1659"
"9","54IA","9-54IA","190-70460-307","AXLE, WHEEL","f9-p08.png","585"
"9","550","9-550","PNE104003-029","PLATE, NAME","f9-p08.png","1782"
"9","560","9-560","PNE104003-024SE","PLATE, IDENTIFICATION","f9-p08.png","1875"
"9","570","9-570","190-70510-361","BUSHING","f9-p08.png","1983"
