part_number,assy_part_number,name,ipl_num,assy_ipl_num,eff_code,units_assy,log_card,repair,is_bush,bush_ipl_num
52065-101,52065-1,Pin,1-470,1-460,,1,1,,,
49004-1,,"Washer, Red",1-480,,,1,,,,
1728B,,"Fitting, Lubrication ",1-490,,,1,,,,
MS21042L4,,Nut   ,1-500,,,2,,,,
MS21043-4,,Nut  ,1-500A,,,2,,,,
NAS620C416L,,Washer,1-510,,,2,,,,
52621-1,,Pin,1-520,,,2,,,,
MS24665-153,,"Pin, Cotter",1-530,,,1,,,,
MS1414514,,Nut,1-540,,,1,,,,
NAS1149C0432R,,Washer,1-550,,,1,,,,
NAS1149C0463R,,Washer,1-560,,,1,,,,
52211-3,,"Cap, End",1-570,,,1,,,,
NAS6204-44D,,Bolt,1-580,,,1,,,,
52210-7,,Pin,1-590,,,1,1,,,
MS24665-153,,"Pin, Cotter",1-610,,,1,,,,
MS14144L5,,Nut,1-620,,,1,,,,
NAS1149C0563R,,Washer,1-630,,,1,,,,
52618-1,,"Washer, Drive Arm",1-640,,,1,,,,
52618-3,,"Washer, Drive Arm ",1-640A,,,1,,,,
52610-7,,Pin,1-650,,,1,,,,
52620-103,52620-3,"Drive Arm, Machining NP",1-655, 1-600,,1,,,,
52200-105,,"Strut Assembly, Jury",1-660,,,1,,,,
52215-3,,Spring,1-665,,,2,,,,
52240-1,,"Roller, Spring",1-667,,,2,,,,
MS24665-289,,"Pin, Cotter",1-670,,,1,,,,
MS14145L8,,Nut,1-680,,,1,,,,
NAS1149C0832R,,Washer,1-690,,,1,,,,
52212-1,,"Pin, Apex",1-700,,,1,1,,,
MS24665-155,,"Pin, Cotter",1-710,,,2,,,,
MS14145L7,,Nut,1-720,,,2,,,,
NAS1149C0763R,,Washer,1-730,,,2,,,,
52216-3,,"Spool, Downlock Spring",1-740,,,2,,,,
52214-1,,"Shaft, Spring",1-750,,,1,,,,
MS21042L3,,Nut,1-760,,,2,,,,
NAS1149C0363R,,Washer,1-770,,,2,,,,
52236-1,,Shim,1-780,,,2,,,,
NAS6203-5,,Bolt,1-790,,,2,,,,
NAS6303-5,,Bolt ,1-790A,,,2,,,,
52223-101,52223-1,"Bracket, Switch",1-810,1-800,,1,,,,
52167-73,,Bushing,1-820,,,1,,,1,1-820
52167-73SR,,Bushing ,1-820A,,,1,,,1,1-820
52223-102,52223-2,"Bracket, Switch",1-840,1-830,,1,,,,
52167-73,,Bushing,1-850,,,1,,,1,1-850
52167-73SR,,Bushing ,1-850A,,,1,,,1,1-850
MS15001-1,,"Fitting, Lubrication",1-870,,,1,,,,
49004-1,,"Washer, Red",1-880,,,2,,,,
MS15001-4,,"Fitting, Lubrication",1-890,,,1,,,,
52167-31,,Bushing,1-900,,,2,,,1,1-900
52167-31SR,,Bushing ,1-900A,,,2,,,1,1-900
52167-35,,Bushing,1-910,,,2,,,1,1-910
52167-35SR,,Bushing ,1-910A,,,2,,,1,1-910
52167-11,,Bushing,1-920,,,2,,,1,1-920
52167-11SR,,Bushing ,1-920A,,,2,,,1,1-920
52167-33,,Bushing ,1-930,,,2,,,1,1-930
52167-75,,Bushing ,1-930A,,,2,,,1,1-930
52167-75SR,,Bushing,1-930B,,,2,,,1,1-930
52167-29,,Bushing,1-940,,,2,,,1,1-940
52167-29SR,,Bushing ,1-940A,,,2,,,1,1-940
52205-101,52205-1,"Link, Lock, Upper NP",1-950,1-860,,1,1,,,
MS21042L3,,Nut,1-960,,,2,,,,
NAS1149C0363R,,Washer,1-970,,,2,,,,
NAS6203-7,,Bolt,1-980,,,2,,,,
52225-1,,Target,1-990,,,2,,,,
52225-3,,Target ,1-990A,,,2,,,,
MS21042L3,,Nut,1-1000,,,2,,,,
NAS1149C0332R,,Washer,1-1010,,,2,,,,
NAS1149C0316R,,Washer,1-1020,,,AR,,,,
NAS1149C0363R,,Washer,1-1020A,,,AR,,,,
52236-1,,Shim,1-1030,,,2,,,,
NAS6203-5,,Bolt,1-1040,,,2,,,,
NAS6303-5,,Bolt,1-1040A,,,2,,,,
52224-111,52224-1,Bracket NP,1-1060,1-1050,,1,,,,
52224-113,52224-3,Bracket NP,1-1060A,1-1050A,,1,,,,
52167-53,,Bushing,1-1070,,,1,,,1,1-1070
52167-535R,,Bushing ,1-1070A,,,1,,,1,1-1070
52224-112,52224-2,Bracket NP,1-1090,1080,,1,,,,
52224-114,52224-4,Bracket NP,1-1090A,1080A,,1,,,,
52167-53,,Bushing,1-1100,,,1,,,,
52167-535R,,Bushing ,1-1100A,,,1,,,,
MS21042L3,,Nut,1-1110,,,1,,,,
NAS1149C0363R,,Washer,1-1120,,,1,,,,
NAS6203-6,,Bolt,1-1130,,,1,,,,
NAS6303-6,,Bolt ,1-1130A,,,1,,,,
52226-1,,"Bracket, Support",1-1140,,,1,,,,
MS21042L3,,Nut,1-1150,,,2,,,,
NAS1149C0363R,,Washer,1-1160,,,2,,,,
NAS8703-11,,Bolt,1-1170,,,2,,,,
52220-1,,"Plate, Stop",1-1180,,,1,,,,
52219-1,,Shim,1-1190,,,1,,,,
52219-101,,Shim,1-1190A,,,1,,,,
52219-103,,Shim,1-1190B,,,1,,,,
52219-105,,Shim,1-1190C,,,1,,,,
52219-107,,Shim,1-1190D,,,1,,,,
52167-25,,Bushing,1-1210,,,2,,,1,1-1210
52167-25SR,,Bushing ,1-1210A,,,2,,,1,1-1210
52167-41,,Bushing,1-1230,,,2,,,1,1-1230
52167-41SR,,Bushing ,1-1230A,,,2,,,1,1-1230
52167-37,,Bushing,1-1240,,,2,,,1,1-1240
52167-37SR,,Bushing ,1-1240A,,,2,,,1,1-1240
1728B,,"Fitting, Lubrication ",1-1250,,,4,,,,
49004-1,,"Washer, Red",1-1260,,,4,,,,
52207-103,52207-3,"Link, Lock, Lower NP",1-1270,1-1200,,1,1,,,
52167-23,,Bushing,1-1290,,,2,,,1,1-1290
52167-23SR,,Bushing ,1-1290A,,,2,,,1,1-1290
52165-3,,Bushing,1-1300,,,2,,,1,1-1300
52165-3SR,,Bushing ,1-1300A,,,2,,,1,1-1300
52167-21,,Bushing,1-1310,,,4,,,1,1-1310
52167-21SR,,Bushing ,1-1310A,,,4,,,1,1-1310
52167-19,,Bushing,1-1320,,,4,,,1,1-1320
52167-19SR,,Bushing ,1-1320A,,,4,,,1,1-1320
MS15001-1,,"Fitting, Lubrication",1-1330,,,4,,,,
49004-1,,"Washer, Red",1-1340,,,4,,,,
49003-1,,Bushing,1-1350,,,4,,,,
52201-107,52201-7,"Brace, Drag, Upper",1-1360,1-1280,,1,1,,,
52245-1(MS1799C2829) MR R0004,,"Pin, Ground Safety",1-1370,,,1,,,,
MS24665-153,,"Pin, Cotter",1-1400,,667,2,,,,
MS14144L4,,Nut,1-1410,,667,2,,,,
NAS1297-4D14,,Bolt,1-1420,,667,2,,,,
NAS1149C0432R,,Washer,1-1430,,667,2,,,,
NAS1149C0532R,,Washer,1-1440,,667,2,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
