part_number,assy_part_number,name,ipl_num,assy_ipl_num,eff_code,units_assy,log_card,repair,is_bush,bush_ipl_num
52513-1,,"Harness Assembly, Wiring, LH  ",1-10,,AB,1,1,,,
52513-3,,"Harness Assembly, Wiring, LH  ",1-10A,,AB,1,1,,,
52513-5,,"Harness Assembly, Wiring, LH  ",1-10B,,C,1,1,,,
52514-1,,"Harness Assembly, Wiring, RH  ",1-20,,AB,1,1,,,
52514-3,,"Harness Assembly, Wiring, RH  ",1-20A,,AB,1,1,,,
52514-5,,"Harness Assembly, Wiring, RH  ",1-20B,,C,1,1,,,
MS21042L3,,Nut ,1-30,,AB,2,,,,
MS21043-3,,Nut ,1-30A,,C,2,,,,
NAS1149C0332R,,Washer,1-40,,,,,,,
TA02212H0L07EP,,Clamp,1-50,,,2,,,,
MS21919WCE7,,Clamp ,1-50A,,,2,,,,
M85052/2-7,,Clamp ,1-50B,,,2,,,,
NAS6203-2,,Bolt ,1-60,,AB,2,,,,
NAS6303-2,,Bolt ,1-60A,,C,2,,,,
MS21042L3,,Nut,1-70,,AB,2,,,,
NAS1149C0332R,,Washer,1-80,,AB,2,,,,
TA02212H0L07EP,,Clamp ,1-90,,AB,2,,,,
MS21919WCE7,,Clamp ,1-90A,,AB,2,,,,
M85052/2-7,,Clamp ,1-90B,,AB,2,,,,
NAS6203-2,,Bolt,1-100,,AB,2,,,,
52229-1,,Plate,1-110,,AB,1,,,,
MS3339-9-0,,"Plate, Mounting, Plastic, White",1-110A,,C,1,,,,
MS3339-9-9,,"Plate, Mounting, Plastic, Black",1-110B,,C,1,,,,
PLT2S-76,,"Strap, Tie Down ",1-115,,C,2,,,,
MS21042L3,,Nut,1-120,,AB,2,,,,
MS21043-3,,Nut ,1-120A,,C,2,,,,
NAS1149C0332R,,Washer,1-130,,,2,,,,
52228-1,,Plate ,1-140,,B,1,,,,
52228-3,,Plate,1-140A,,C,1,,,,
NAS6203-3,,Bolt,1-150,,AB,2,,,,
NAS6303-3,,Bolt ,1-150A,,C,2,,,,
MS21042L3,,Nut,1-160,,,2,,,,
NAS1149C0363R,,Washer,1-170,,,2,,,,
52231-1,,Target,1-180,,,2,,,,
NAS6203-5,,Bolt,1-190,,,2,,,,
NAS6303-5,,Bolt ,1-190A,,,2,,,,
MS24665-153,,"Pin, Cotter",1-200,,,2,,,,
MS14145L5,,Nut,1-210,,,2,,,,
NAS1149C0563R,,Washer ,1-220,,,2,,,,
52182-1,,"Bolt, Cross",1-230,,,2,,,,
MS25083-40E7,,"Jumper Assembly, Bonding",1-240,,,1,,,,
MS20002C6,,Washer,1-250,,,1,,,,
52230-3,,Bracket,1-260,,,1,,,,
52230-4,,Bracket,1-270,,,1,,,,
MS15001-1,,"Fitting, Lubrication",1-280,,,2,,,,
49004-1,,"Washer, Red",1-290,,,2,,,,
52052-3,,"Pin, Trunnion",1-300,,,2,1,,,
52058-101,52058-1,"Adapter, Grease",1-320,1-310,,2,,,,
MS21209F4-10,,"Insert, Helical Coil",1-330,,,2,,,,
MS15001-1,,"Fitting, Lubrication",1-340,,,2,,,,
M83461-1-023,,Packing,1-350,,A,4,,,,
M83248-1-023,,Packing,1-350A,,,4,,,,
MS24665-155,,"Pin, Cotter",1-360,,,1,,,,
MS14145L6,,Nut,1-370,,,1,,,,
NAS1149C0663R,,Washer,1-380,,,1,,,,
52061-101,52061-1,Pin,1-400,1-390,,1,,,,
49004-1,,"Washer, Red",1-410,,,1,,,,
1728B,,"Fitting, Lubrication ",1-420,,,1,,,,
MS24665-289,,"Pin, Cotter",1-430,,,1,,,,
MS14145L8,,Nut,1-440,,,1,,,,
NAS1149C0863R,,Washer,1-450,,,1,,,,
