part_number,assy_part_number,name,ipl_num,assy_ipl_num,eff_code,units_assy,log_card,repair,is_bush,bush_ipl_num
53005-1,,Nameplate, 1-10,,,1,,,,
48105-1,,Pressure Switch, 1-20,,,1,,,,
NAS1612-4,,Packing , 1-30,,,1,,,,
3-904E515-80,,Packing  ,1-30A,,,1,,,,
MS2190244,,"Fitting, Hydraulic", 1-40,,,1,,,,
NAS1612-4,,Packing , 1-50,,,1,,,,
3-904E515-80,,Packing  ,1-50A,,,1,,,,
53004-1,,"End Cap, Compensator", 1-60,,,1,,,,
NAS660445,,Bolt, 1-70,,,3,,,,
NAS114900432K,,Washer, 1-80,,,3,,,,
7223MR-952-T,,Seal Static, 1-90,,,1,,,,
48125-1,,"Piston and Poppet, Mated Subassembly",1-100,,,1,,,,
594-221-00-952-0170,,"Seal, Dynamic",1-110,,,1,,,,
48122-1,,Spring,1-120,,,1,,,,
48130-1,,"Seat, Spring",1-130,,,1,,,,
48128-1,,"Retainer, Ring",1-140,,,1,,,,
48124-1,,Retainer ,1-150,,,1,,,,
48123-1,,Spring,1-160,,,1,,,,
48126-1,,Poppet ,1-170,,,1,,,,
48126-3,,Poppet ,1-170A,,,1,,,,
48127-1,,Piston,1-180,,,1,,,,
D38999/20KB35PN,,"Connector, Electrical",1-190,,,1,,,,
NAS1101-04H5,,Screw,1-200,,,4,,,,
NAS620-A4,,Washer,1-210,,,4,,,,
M39029/58-360,,"Pin, Contact",1-220,,,9,,,,
NS27488-22-2,,"Plug, Seal",1-230,,,4,,,,
53014-1,,Electro-Hydraulic Servo Valve ,1-240,,A,1,,,,
53014-101,,Electro-Hydraulic Servo Valve ,1-240A,,AB,1,,,,
53014-103,,Electro-Hydraulic Servo Valve ,1-240B,,C,1,,,,
MS24678-17,,Screw,1-250,,,4,,,,
NAS620A10L,,Washer,1-260,,,4,,,,
NAS620A10,,Washer,1-270,,,4,,,,
NAS1611-010,,"Seal, Static ",1-280,,,4,,,,
2-010E515-80,,"Seal, Static  ",1-280A,,,4,,,,
TA70000075,,EMI Gasket ,1-290,,,1,,,,
48146-1,,"End Cap, Mode Selector Valve Seal, Static ",1-300,,,1,,,,
7020NS-952-T,,"Seal, Stati? ",1-310,,,1,,,,
48147-1,,Spring,1-320,,,1,,,,
48145-3,,"Spoo1 and Sleeve, Mated Subassembly",1-330,,,1,,,,
48145-105,,"Spoo1 and Sleeve, Mated Subassembly",1-340,,,1,,,,
48141-3,,Spoo1,1-350,,,1,,,,
48142-1,,Sleeve,1-360,,,1,,,,
48145-103,,"Spoo1 and Sleeve, Mated Subassembly",1-370,,,1,,,,
48145-109,,"Spoo1 and Sleeve, Mated Assembly PRFD",1-370A,,,1,,,,
48143-1,,Spoo1,1-380,,,1,,,,
48144-1,,Sleeve,1-390,,,1,,,,
7015MS-952-5708,,"Sea1, Static ",1-400,,,6,,,,
7013MS-952-5708,,"Sea1, Static ",1-410,,,1,,,,
27003-5,,Solenoid,1-420,,AB,1,,,,
27003-7,,Solenoid ,1-420A,,C,1,,,,
MS24678-10,,Screw,1-430,,,4,,,,
NAS620A10L,,Washer,1-440,,,4,,,,
7010MR-952-T,,"Sea1, Static  ",1-450,,,1,,,,
7011MR-952-T,,"Sea1, Static  ",1-460,,,1,,,,
7014MR-952-T,,"Sea1, Static  ",1-470,,,1,,,,
4150-01499-00954,,"0-ring, Special Mandatory for all spares and in-service replacement  -*-",1-470A,,,1,,,,
27627-1,,"Fitting, Filter NP ",1-480,,,1,,,,
27627-5,,"Fitting, Filter ",1-480A,,,1,,,,
NAS1612-4,,Packing ,1-490,,,1,,,,
3-904E515-80,,Packing  ,1-490A,,,1,,,,
MS21902J4,,"Fitting, Hydraulic",1-500,,,4,,,,
NAS1612-4,,Packing ,1-510,,,4,,,,
3-904E515-80,,Packing  ,1-510A,,,4,,,,
53001-1,,Manifold Insert Subassembly,1-520,,A,1,,,,
53001-3,,Manifold Insert Subassembly,1-520A,,BC,1,,,,
53001-1,,Manifold Insert Subassembly, 2-10,,A,RF,,,,
53001-3,,Manifold Insert Subassembly,2-10A,,B,RF,,,,
MSZ1209F1-15P,,"Insert, Helical Coil", 2-20,,,8,,,,
MSZ1209C0415P,,"Insert, Helical Coil", 2-30,,,4,,,,
MSZ1209F4-20P,,"Insert, Helical Coil", 2-40,,,4,,,,
PLGA4060010A,,Plug , 2-50,,,1,,,,
CKFA3756205A,,"Valve, Check ", 2-60,,,1,,,,
JETA1875120H,,"Valve, Charge-Compensator ", 2-70,,,1,,,,
PLGA3120010A,,Plug , 2-80,,,4,,,,
PRFX0516400B,,"Valve, Load Relief ", 2-90,,,1,,,,
PRRX0530000B,,"Valve, Load Relief ",2-100,,,1,,,,
PLGA2180010A,,Plug ,2-110,,,2,,,,
JETA1872650D,,"Orifice, Power-On Damping ",2-120,,,1,,,,
JEPA2503093A,,"Orifice, Power-Off Damping ",2-130,,,2,,,,
PLGA4061010A,,Plug ,2-140,,,2,,,,
CKRA3756205A,,"Valve, Check",2-150,,,2,,,,
PLGA1560010A,,Plug ,2-160,,,2,,,,
PLGA2501010A,,Plug ,2-170,,,1,,,,
PLGA1870010A,,Plug ,2-180,,,1,,,,
PLGA1561010A,,Plug ,2-190,,,4,,,,
PLGA1871010A,,Plug ,2-200,,,2,,,,
53002-1,,"Machining, Manifold",2-210,,A,1,,,,
53002-3,,"Machining, Manifold",2-210A,,B,1,,,,
