name,
PARTS MISSING UPON ARRIVAL AS INDICATED ON PARTS LIST,
UNIT RECEIVED COMPLETELY DISASSEMBLED,
?  DISASSEMBLED UPON ARRIVAL ,
BUSHINGS WORN BEYOND LIMITS AS INDICATED ON PARTS LIST,
