"id","partnumber","description","manufacturer","lib","aircraft","created_at","updated_at"
"218","D23191000","LH LEG STRUCTURE, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"219","D23192000","LH LEG STRUCTURE, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"220","D23195000","LH LEG STRUCTURE COVERING, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"221","D23195100","LH LEG STRUCTURE COVERING, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"222","D23196000","RH LEG STRUCTURE COVERING, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"223","D23196100","RH LEG STRUCTURE COVERING, MLG","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"224","D23313000","SELF-CLEANING VALVE","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"225","D23567000","CASING ASSEMBLY","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"226","D23567100","CASING ASSEMBLY","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"227","D23568000","CASING ASSEMBLY","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"228","D23568100","CASING ASSEMBLY","SAFRAN LS","83",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"229","146435","MANUALLY OPERATED ROTARY SHUTTOFF VALVE","WHITTAKER CONTROLS","84",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"230","149455","MANUALLY OPERATED ROTARY SHUTTOFF VALVE","WHITTAKER CONTROLS","84",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"231","65-44581","SHUT OFF VALVE MODULAR PACKAGE ASSEMBLY","BOEING","84",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"232","65-44896","SHUT OFF VALVE MODULAR PACKAGE ASSEMBLY","BOEING","84",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"233","371380","HYDRAULIC PUMP","EATON AEROSPACE","85",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"234","424244","HYDRAULIC PUMP","EATON AEROSPACE","85",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"235","569653","HYDRAULIC PUMP","EATON AEROSPACE","85",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"236","623337","HYDRAULIC PUMP","EATON AEROSPACE","85",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"237","623339","HYDRAULIC PUMP","EATON AEROSPACE","85",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"238","PV3-160","HYDRAULIC PUMP","EATON AEROSPACE","85",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"239","731840","HYDRAULIC MOTOR PUMP","EATON AEROSPACE","86",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"240","849557","HYDRAULIC MOTOR PUMP","EATON AEROSPACE","86",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"242","46500","UPLOCK ASSEMBLY, MLG","GOODRICH","88",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"243","AL00102","LINEAR ACTUATOR","GOODRICH","89",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"244","109804-1","TWO AND ONE-HALF INCH DIAMETER BUTTERFLY AND SHUTOFF VALVE","HONEYWELL","90",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"245","109804-2","TWO AND ONE-HALF INCH DIAMETER BUTTERFLY AND SHUTOFF VALVE","HONEYWELL","90",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"246","109804-3","TWO AND ONE-HALF INCH DIAMETER BUTTERFLY AND SHUTOFF VALVE","HONEYWELL","90",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"247","109804-4","TWO AND ONE-HALF INCH DIAMETER BUTTERFLY AND SHUTOFF VALVE","HONEYWELL","90",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"248","109804-6","TWO AND ONE-HALF INCH DIAMETER BUTTERFLY AND SHUTOFF VALVE","HONEYWELL","90",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"249","109804-7","TWO AND ONE-HALF INCH DIAMETER BUTTERFLY AND SHUTOFF VALVE","HONEYWELL","90",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"250","22405-300","UPLOCK UNIT, MAIN AND NOSE LANDING GEAR","SAFRAN LS","91",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"251","23265-300","NLG UPLOCK ELECTRICAL HARNESS","SAFRAN LS","91",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"252","979990","ONE AND ONE-HALF INCH DIAMETER TEMPERATURE CONTROL VALVE","HONEYWELL","92",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"253","52600","NLG FWD DOOR MECHANISM ASSEMBLY","GOODRICH","93",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"254","3214560","PRESSURE REGULATING AND SHUTOFF VALVE","HONEYWELL","94",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"256","AV17B3193C","MOTOR OPERATED BUTTERFLY VALVE ASSEMBLY","ITT AEROSPACE","95",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"257","100-25109Y","PARKING AND EMERGENCY BRAKE CONTROL VALVE","MAGNAGHI MILANO","96",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"258","820939","DISTRIBUTION DAMPER VALVE","HAMILTON SUNDSTRAND","97",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"260","821168","ROTARY ACTUATOR","HAMILTON SUNDSTRAND","97",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"262","C23791","LEG ASSEMBLY, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"263","C23791-10","LEG ASSEMBLY, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"264","C23792","LEG ASSEMBLY, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"265","C23792-10","LEG ASSEMBLY, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"266","C23793","BARREL ASSEMBLY, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"267","C23793-10","BARREL ASSEMBLY, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"268","C23794","BARREL ASSEMBLY, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"269","C23794-10","BARREL ASSEMBLY, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"270","C23795","SHOCK ABSORBER, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"271","C23796","SHOCK ABSORBER, MLG","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"272","USM15","SWIVEL COUPLING","SAFRAN LS","98",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"273","A25455","SERVOVALVE","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"274","A25455004","SERVOVALVE","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"275","C23787","LEG ASSEMBLY, NLG","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"276","C23787-10","LEG ASSEMBLY, NLG","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"277","C23788","BARREL ASSEMBLY, NLG","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"278","C23788-10","BARREL ASSEMBLY, NLG","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"279","C23789","SHOCK ABSORBER, NLG","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"280","C23789-10","SHOCK ABSORBER, NLG","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"281","C24243005","FOLLOW-UP UNIT","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"282","C24243","FOLLOW-UP UNIT","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"283","C24248003","HYDRAULIC ASSEMBLY","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"284","C24248","HYDRAULIC ASSEMBLY","SAFRAN LS","99",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"285","C22021","ELECTRICAL HARNESS","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"286","C23823","ELECTRICAL HARNESS","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"287","C23824","ELECTRICAL HARNESS","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"288","C23844","PROXIMITY SWITCH UNIT","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"289","C23845","PROXIMITY SWITCH UNIT","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"290","D22103","ELECTRICAL HARNESS","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"291","D22104","ELECTRICAL HARNESS","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"292","D22255","ELECTRICAL CABLE ASSEMBLY","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"293","D22256","ELECTRICAL CABLE ASSEMBLY","SAFRAN LS","100",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"294","C24589000","UPLOCK BOX","SAFRAN LS","101",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"295","C24603000","LEVER ASSY","SAFRAN LS","101",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"296","C24604000","LEVER ASSY","SAFRAN LS","101",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"297","10200","MLG DRAG STRUT","SAFRAN LS","102",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"298","820914","PACK BYPASS VALVE","HAMILTON SUNDSTRAND","103",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"299","3289704","SHUTOFF VALVE","HONEYWELL","104",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"300","3029683","HYDRAULIC MOTORPUMP ASSEMBLY","EATON AEROSPACE","105",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"301","3029700","ELECTRICAL MOTOR SUBASSEMBLY","EATON AEROSPACE","105",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"302","518150","HYDRAULIC MOTORPUMP ASSEMBLY","EATON AEROSPACE","105",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"303","518157","ELECTRICAL MOTOR SUBASSEMBLY","EATON AEROSPACE","105",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"304","518203","VARIABLE DISPLACEMENT HYDRAULIC PUMP","EATON AEROSPACE","105",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"305","693335","HYDRAULIC MOTORPUMP ASSEMBLY","EATON AEROSPACE","105",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"306","693337","ELECTRICAL MOTOR SUBASSEMBLY","EATON AEROSPACE","105",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"307","693830","VARIABLE DISPLACEMENT HYDRAULIC PUMP","EATON AEROSPACE","105",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"308","23425-300","NLG ELECTRICAL POWER HARNESS","SAFRAN LS","106",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"309","46550","RETRACTION ACTUATOR ASSEMBLY, MLG","GOODRICH","107",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"310","201105001","SIDE STAY, MLG","SAFRAN LS","108",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"311","201105002","SIDE STAY, MLG","SAFRAN LS","108",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"312","201105003","SIDE STAY, MLG","SAFRAN LS","108",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"313","201105004","SIDE STAY, MLG","SAFRAN LS","108",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"314","200876279","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"315","200877260L","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"316","200877260R","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"317","200877261L","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"318","200877261R","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"319","200877262","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"320","200877263","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"321","200884212L","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"322","200884212R","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"323","200884217","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"324","200884218","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"325","200884219","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"326","200884221","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"327","200884243","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"328","200884245","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"329","200884249","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"330","200884250","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"331","200885202","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"332","200885203","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"333","200885206","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"334","200885207","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"335","200898202","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"336","200898203","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"337","200898204","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"338","200898205","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"339","200915230","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"340","200915231","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"341","200915232","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"342","200915233","ELECTRICAL HARNESSES","ULTRA ELECTRONICS","109",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"343","2214805","TEMPERATURE CONTROL VALVE","HONEYWELL","110",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"345","47200","SHOCK STRUT ASSEMBLY, DRESSED, NLG","GOODRICH","111",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"346","20045","NLG DRAG BRACE ASSEMBLY","SAFRAN LS","112",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"347","104479001","ONE-WAY RESTRICTOR VALVE","SAFRAN LS","113",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"348","20020","NOSE LANDING GEAR","SAFRAN LS","113",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"349","7102","STEERING CONTROL AND POSITION FEEDBACK ASSEMBLY","SAFRAN LS","113",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"350","19010-101","MLG SIDE STAY ACTUATOR ASSEMBLY","GE AVIATION","114",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"351","19010","MLG SIDE STAY ACTUATOR ASSEMBLY","GE AVIATION","114",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"352","19011-101","MLG SIDE STAY ACTUATOR ASSEMBLY","GE AVIATION","114",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"353","19011","MLG SIDE STAY ACTUATOR ASSEMBLY","GE AVIATION","114",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"354","19090","MAIN LANDING GEAR","SAFRAN LS","115",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"355","104471003","NLG RETRACTION ACTUATOR ASSEMBLY","SAFRAN LS","116",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"356","19300","WOW SENSOR # 1 AND ANTI-SKID LHS INBD HARNESS, MLG","SAFRAN LS","117",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"357","D23213000","ACTUATING CYLINDER","SAFRAN LS","118",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"358","D23214000","ACTUATING CYLINDER","SAFRAN LS","118",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"359","16600","NLG UPLOCK ASSEMBLY","SAFRAN LS","119",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"360","201399007","ENHANCED HARNESS, MLG, LH, 1M","SAFRAN LS","120",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"361","201399008","ENHANCED HARNESS, MLG, RH, 1M","SAFRAN LS","120",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"362","201400005","ENHANCED HARNESS, MLG, LH, 2M","SAFRAN LS","120",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"363","201400006","ENHANCED HARNESS, MLG, RH, 2M","SAFRAN LS","120",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"364","D22897500","ACTUATING CYLINDER","SAFRAN LS","121",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"365","D22898500","ACTUATING CYLINDER","SAFRAN LS","121",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"366","200812001","STEERING ACTUATOR","SAFRAN LS","122",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"367","200924004","NOSE LANDING GEAR ASSEMBLY","SAFRAN LS","122",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"368","7300","NOSE LANDING GEAR ASSEMBLY","SAFRAN LS","122",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"369","7302","STEERING ACTUATOR","SAFRAN LS","122",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"370","10190","MLG SHOCK STRUT","SAFRAN LS","123",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"371","37","3-WAY SERVOVALVE ASSEMBLY","CRANE","124",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"372","39-739","ANTISKID VALVE MANIFOLD","CRANE","124",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"373","3290104","ONE AND ONE-HALF INCH DIAMETER BUTTERFLY MODULATING VALVE","HONEYWELL","125",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"374","3214558","TWO INCH DIAMETER REGULATING AND SHUT-OFF VALVE","HONEYWELL","126",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"376","22910-000","ELECTRICAL HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"377","22915-000","ELECTRICAL HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"378","23055-000","NLG FEEDBACK POTENTIOMETER HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"379","23285-000","ELECTRICAL HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"380","23415-000","NLG MAIN ELECTRICAL HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"381","23425-000","NLG ELECTRICAL POWER HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"382","D23685000","ELECTRICAL HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"383","D23686000","ELECTRICAL HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"384","D23687000","ELECTRICAL HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"385","D23688000","ELECTRICAL HARNESS","SAFRAN LS","127",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"386","FE179","FLAP CONTROL ACTUATOR","RATIER FIGEAC","128",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"387","FE237","FLAP CONTROL ACTUATOR","RATIER FIGEAC","128",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"388","21500","MLG SIDE BRACE ACTUATOR ASSEMBLY","SAFRAN LS","129",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"389","21501","MLG SIDE BRACE ACTUATOR ASSEMBLY","SAFRAN LS","129",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"390","200815001","MLG URLOCK ASSEMBLY","SAFRAN LS","130",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"391","200823001","MLG UPLOCK ACTUATOR","SAFRAN LS","130",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"392","2022268","RH OUTBD FLAP ACTUATOR","MOOG","131",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"393","LA11A2118","LINEAR ACTUATOR","ITT AEROSPACE","132",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"394","103672","VALVE, OUTFLOW","HONEYWELL","133",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"395","42152","ELECTRIC MOTOR DRIVEN VARIABLE DELIVERY HYDRAULIC PUMP","PARKER","134",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"396","44794","AC ELECTRICAL MOTOR","AUXILEC","134",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"397","A25474070","RESTRICTOR","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"398","C24644070","RESTRICTOR VALVE, NLG & MLG","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"399","D22709000","ACTUATING CYLINDER ASSEMBLY, NLG","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"400","D22709500","ACTUATING CYLINDER ASSEMBLY, NLG","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"401","D22847000","VALVE BOX, NLG","SAFRAN LS","135",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"402","3214102","SUPPLY REGULATING VALVE","HONEYWELL","136",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"403","B03AA1020","VALVE, DUAL DISTRIBUTOR","LIEBHERR","137",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"404","B03AA1031","VALVE, DUAL DISTRIBUTOR","LIEBHERR","137",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"405","3290288","TEMPERATURE CONTROL VALVE","HONEYWELL","138",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"406","24125-000","ACTUATOR, MLG RETRACT","SAFRAN LS","139",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"407","201106001","SHOCK ABSORBER","SAFRAN LS","140",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"408","104273005","STEERING VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"409","104273006","STEERING VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"410","104273007","STEERING VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"411","104273008","STEERING VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"412","104733001","SHUTOFF VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"413","104733002","SHUTOFF VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"414","104733003","SHUTOFF VALVE","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"415","104801002","COMPENSATOR","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"416","200662001","DIFFERENTIAL BOX","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"417","200662002","DIFFERENTIAL BOX","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"418","201138002","NOSE LANDING GEAR","SAFRAN LS","141",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"419","816601","HIGH STAGE BLEED VALVE","HAMILTON SUNDSTRAND","142",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"420","1170B0000","STRUT, NLG","LIEBHERR","143",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"421","1170C0000","STRUT, NLG","LIEBHERR","143",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"422","1172B0000","MAIN DRAG STRUT, NLG","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"423","1172C0000","MAIN DRAG STRUT, NLG","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"424","1172D0000","MAIN DRAG STRUT, NLG","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"425","1173B0000","AUXILIARY DRAG STRUT, NLG","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"426","1175B0000","UNLOCKING ACTUATOR","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"427","1300B0000","NLG MANOEUVRING ACTUATOR","LIEBHERR","144",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"428","2309-2002","MAIN LANDING GEAR, LH","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"429","2309-2005","SHOCK ABSORBER ASSEMBLY, MLG","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"430","2309-3002","MAIN LANDING GEAR, LH","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"431","2309-3100","MAIN LANDING GEAR, LH","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"432","2309-4002","MAIN LANDING GEAR, LH","ELEB","145",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"433","1170A1800","FEEDBACK UNIT POTENTIOMETER","LIEBHERR","146",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
