"id","partnumber","description","manufacturer","lib","aircraft","created_at","updated_at"
"63","C24646090","RESTRICTOR VALVE, MLG","SAFRAN LS","29",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"64","D22897000","ACTUATING CYLINDER ASSEMBLY","SAFRAN LS","29",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"65","D22898000","ACTUATING CYLINDER ASSEMBLY","SAFRAN LS","29",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"66","65-44851","GROUND SPOILER LOCKING ACTUATOR","BOEING","30",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"67","4128","RELEASABLE CENTERING UNIT","AVIAC","31",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"68","320295","SOLENOID VALVE","WHITTAKER CONTROLS","32",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"69","VN1000","SPOILER ACTUATOR","GOODRICH","33",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"70","VN1001","SPOILER ACTUATOR","GOODRICH","33",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"71","MF45-3911","HYDRAULIC MOTOR","EATON AEROSPACE","34",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"72","MF9-3911","HYDRAULIC MOTOR","EATON AEROSPACE","34",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"73","MS-3911","HYDRAULIC MOTOR","EATON AEROSPACE","34",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"74","MS9-3911","HYDRAULIC MOTOR","EATON AEROSPACE","34",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"75","65-44561","FLIGHT SPOILER POWER CONTROL UNIT ASSEMBLY","BOEING","35",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"76","65-49580","FLIGHT SPOILER POWER CONTROL UNIT ASSEMBLY","BOEING","35",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"77","D22698000","LEG ASSEMBLY, NLG","SAFRAN LS","36",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"78","D22698042","LEG ASSEMBLY, NLG","SAFRAN LS","36",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"79","D22698072","LEG ASSEMBLY, NLG","SAFRAN LS","36",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"80","D22698100","LEG ASSEMBLY, NLG","SAFRAN LS","36",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"81","D22698172","LEG ASSEMBLY, NLG","SAFRAN LS","36",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
