"id","Code","Material","Specification","VER","created_at","updated_at"
"243","LM-0230","Silicone Grease","SI55","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"244","LM-0235","Silicone Grease","G-392","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"245","LM-0240","Silicone Grease","AMS-G-4343","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"246","LM-0245","Mineral Oil","0-138","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"247","LM-0250","Mineral Oil","AIR 3512","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"248","LM-0255","Silicone Oil","SI200","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"249","LM-0260","Mineral Oil","Liquid Paraffin","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"250","LM-0265","Hydraulic Fluid","Hyjet IV","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"251","LM-0270","Hydraulic Fluid","MCS352 (for assembly)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"252","LM-0275","Hydraulic Fluid","MIL-PRF-83282D","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"253","LM-0280","Hydraulic Fluid","Oronite M2V","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"254","LM-0285","Lubricant","SAE-AMS-M-7866","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"255","LM-0290","Lubricating Oil","MIL-PRF-32033","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"256","LM-0295","Lubricant","FluoroGrade Glide FB (Film Bonding)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"257","LM-0300","Lubricant","Molykote 321R","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"258","LM-0305","Lubricant"," Molybdenium Disulphide (Aerosol)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"259","LM-0310","Lubricant","MIL-M-7866","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"260","LM-0315","Grease","MIL-G-3545","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"261","LM-0320","Hydraulic fluid","MIL-PRF-87257","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"262","LM-0325","Hydraulic fluid","NSA 307-110","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"263","LM-0330","Grease","Aeroshell 15 (MIL-G-25013E)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"264","LM-0335","Grease","MIL-G-4343","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"265","LM-0340","Hydraulic Fluid","MIL-H560B","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"266","LM-0345","Hydraulic fluid","AIR 3560","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"267","LM-0350","Grease","Tallow","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"268","LM-0355","Solvent","MOLYKOTE 106","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"269","LM-0360","Bearing grease","AeroShell 5","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"270","LM-0365","Bearing grease","Kluber NBU 15","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"271","LM-0370","Bearing grease","ISOFLEX NBU15","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"272","LM-0375","Silicone grease","SAE-AS8660","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"273","LM-0380","Grease","Isoflex LDS 18","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"274","LM-0385","Lubricant","SKYLUBE (A22595-001)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"275","LM-0390","Hydraulic fluid","MIL-H83282","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"276","LM-0395","Neutral petrolatum","VaselineVN 65   NYCO","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"277","LM-0400","Grease","AEROSHELL 33MS","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"278","LM-0405","Hydraulic fluid","DEF STAN 91-48","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"279","LM-0410","Hydraulic fluid","Skydrol 500B/4","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"280","LM-0415","Grease","DEF STAN 91-57","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"281","LM-0420","Grease","DEF STAN 91-53","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"282","LM-0425","Hydraulic fluid","BMS 3-11F","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"283","LM-0430","Hydraulic fluid","Z-20.208","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"284","LM-0435","Hydraulic fluid","Z-21.201","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"285","LM-0440","Grease","Aeroshell 64","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"286","LM-0445","Hydraulic fluid","CASTROL AERO 35","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"287","LM-0450","Hydraulic fluid","SKYDROL LD4","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"288","LM-0455","Grease","MIL-T-83483","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"289","LM-0460","Hydraulic fluid","AIR 3515","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"290","LM-0465","Lubricant","DWX30 or DWX88","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"291","LM-0470","Petroleum solvent","EXXSOL D80","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"292","LM-0475","Petroleum solvent","HYSO 99","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"293","LM-0480","Petroleum solvent","SIDVOLEX","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"294","LM-0485","Petroleum solvent","ESSENCE F","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"295","LM-0490","Organic solvents","ETHANOL 99 & ISOPROPANOL 70B56","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"296","LM-0495","Organic solvents","Aliphatic hydrocarbon Grade F","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"297","LM-0500","Hydraulic fluid","MIL-H-6083","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"298","LM-0505","Vaseline","VVP-236A","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"299","LM-0510","Vaseline","AIR 3565","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"300","LM-0515","Grease","DEF STAN 91-38","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"301","LM-0520","Lubricating oil","DEF STAN 91-44","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"302","LM-0525","Dimethyl Silicone Fluid","DEF STAN 91-46","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"303","LM-0530","Hydraulic Fluid","MIL-H-5506","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"304","LM-0535","Grease","MIL-G-81937","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"305","LM-0540","Grease","MIL-G-81827","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"306","LM-0545","Lubricant","Dupont  Teflon PTFE Dry Spray (Acheson)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"307","LM-0550","Grease","DEF STAN 91-12","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"308","LM-0560","SEE LM-0020D",,"NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"309","PC-0001","Polyurethane Coating","MIL-PRF-85285 Colour -Red","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"310","PC-0005","Polyurethane Coating","MIL-PRF-85285 Colour FED-STD-595 No. 16473 -Grey","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"311","PC-0010","Polyurethane Coating","MIL-PRF-85285 Colour FED-STD-595 No. 17925 -Insignia White","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"312","PC-0015","Polyurethane Coating","MIL-PRF-85285 Colour FED-STD-595 No. 17875 -White","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"313","PC-0020","Epoxy primer","MIL-P-85582","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"314","PC-0020A","Epoxy primer","MIL-PRF-85582","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"315","PC-0025","Thinner","MIL-T-81772","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"316","PC-0030","Polyurethane Coating","MIL-PRF-85285 Clear","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"317","PC-0035","Polyurethane Coating","MIL-PRF-85285 Colour FED-STD-595 No. 17038 -Black","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"318","PC-0040","Polyurethane Coating","MIL-PRF-85285 Colour FED-STD-595 No. 13507 -Bright Yellow","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"319","PC-0045","Coating","Resine 611","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"320","PC-0050","Paint","Scheme 611 bis","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"321","PC-0055","Paint","Paint NC4 Solvent 1591 CL 11","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"322","PC-0060","Primer","A4094","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"323","PC-0065","Primer","C15/90","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"324","PC-0070","Red Varnish Lacquer","9036 bis","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"325","PC-0075","Colourless Varnish","Aerodur clearcoat UVR +Hardner S66/22R or BMS 1060 type 1","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"326","PC-0080","Varnish","Anti-bond METCO","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"327","PC-0085","Insulating Varnish","Blocjelt Rouge (Jelt CM)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"328","PC-0090","Varnish","Transparent (for labels)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"329","PC-0095","Varnish","Pyroflex 0656 Transparent","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"330","PC-0100","Varnish","Rhodorsil SI991","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"331","PC-0105","Varnish","Thermosetting","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"332","PC-0110","Clear Varnish","Tempo 4600-CG-1","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"333","PC-0115","Polyurethane Coating","MIL-PRF-85285 Colour FED-STD-595A No. 11302 Red","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"334","PC-0120","Polyurethane Coating","Colour FED-STD-595 No. 27875 Semi-Gloss White","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"335","PC-0125","Polyurethane Coating","Colour FED-STD-595 No. 37038 Lusterless Black","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"336","PC-0130","Polyurethane Coating","Colour FED-STD-595 No. 14187 Green.","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"337","PC-0135","Polyurethane Paint",,"NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"338","PC-0140","Not used",,"NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"339","PC-0145","Primer","PM0820","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"340","PC-0150","Varnish","Pyroflex 7D980","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"341","PC-0155","Colourless varnish","Base material 683-3-2 catalyst X310-A","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"342","PC-0160","Primer","Primer paint from scheme 4080","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"343","PC-0165","Varnish","Fungicidal PCIM varnish","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"344","PC-0170","Varnish","VERNELEC 43022B varnish","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"345","PC-0175","Varnish","Thinner VERILAC D4064","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"346","PC-0180","Cellulose varnish",,"NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"347","PC-0185","Bright red paint","PU 66 8H","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"348","PC-0190","Coating","Anti-stone chip polysulphide coating  ","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"349","PC-0195","Liquid Nitrogen","Nickel flame spray LN2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"350","PC-0200","Metal spray","Tungsten carbide/cobalt (Union carbide specification LW-IN40)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"351","PC-0205","Pigmented lanolin resin solution","DTD279B","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"352","PC-0210","POLYURETHANE PRIMER","FL4300 +HARD-FL-4206 +THIN-FL-4207","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"353","PC-0215","Red paint","381C-537","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"354","PC-0220","Aluminium paint",,"NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"355","PC-0225","Primer","Epoxy-primer SL6362C, catalyst CSH6331A thinner TSL5373","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"356","PC-0230","Paint","PYROSIL 7G888","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"357","PC-0235","Primer","LEH640","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"358","PC-0240","Finish","420HS","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"359","PC-0245","Dye","Anthraquinone violet dye","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"360","PC-0250","Alkaline solution","Diversey 909","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"361","PC-0255","Oil finish","H7 oil","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"362","PC-0260","Primer","RILPRIM P23V40","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"363","PC-0265","Primer","PRIMGREEN PRIMER ","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"364","PC-0270","Primer","PRIMGREEN LAT 12035","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"365","PC-0275","Paint","P50","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"366","PC-0280","Thinner","Thinner SM44","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"367","PC-0285","Post-primer","Aluminium topcoat 611 bis","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"368","PC-0290","Post-primer","ROCKHARD 985","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"369","PC-0295","Thinner","Thinner 665-550-025","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"370","PC-0300","Primer","Primer base 985-6500","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"371","PC-0305","Paint","Pyrolac scheme 7E-747/E.A.4","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"372","PC-0310","Paint","CELOMER scheme 7828/PU66","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"373","PC-0315","Primer","Epoxy primer 7835","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"374","PC-0320","Paint","Aerodur","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"375","PC-0325","Thinner","Thinner C25/90S","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"376","PC-0330","Finish","AVIOX 77702","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"377","PC-0335","Catalyst","99321","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"378","PC-0340","Finish","AVIOX SGL FINISH ALUMINIUM","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"379","PC-0345","Primer","BASE: 10P20-13 / CATALYST: EC-213 Part B","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"380","PC-0350","Top coat","BASE: AVIOX 77702 FINISH GREY HARDENER: 90150","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"381","PC-0355","Thinner","6940B","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"382","PC-0360","Primer","INTERGARD 90","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"383","PC-0365","Paint","LFSH066","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"384","PC-0370","Varnish","EMOS 60","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"385","PC-0375","Varnish","MOLYKOTE L13","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"386","PC-0380","Thinner","Diluant L13","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"387","PC-0385","Primer","PRIMER 463-12-8 ","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"388","PC-0390","Wash primer","REACTIVE PRIMER 6840B ref. 7630 3600  / REACTIVE THINNER 6940B ref. 0830 9000 / THINNER 4980 ref. 0480 9000","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"389","PC-0395","Primer","PRIMER 4888 ref. 6113 5001  /  THINNER 4980 ref.0480 9000","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"390","PC-0400","Pre-finish","BRIGHT ALUMINIUM TOPCOAT 4080 Y 742 THINNER 4980 ref. 0480 9000","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
